Cluster,LSTM_Units,Dropout_Rate,Batch_Size,Epochs,Train_Loss,Train_MAE,Train_MAPE,Validation_Loss,Validation_MAE,R2_Score,RMSE,MAPE
2,50,0.2,32,50,154196.171875,300.89031982421875,38.092376708984375,359518.875,429.8824768066406,0.09973117965965825,599.5988567154743,33.340037486422275
1,50,0.2,32,50,43662368.0,958.4597778320312,16.87180519104004,17808112.0,2556.283447265625,0.05119889710095618,4219.965686101014,36.500283756673234
0,50,0.2,32,50,1514704.375,846.8428344726562,50.863563537597656,5047700.5,1738.9703369140625,0.2003913375109643,2246.7086970886016,52.640496456390174
1,50,0.2,32,50,29172094.0,1924.5400390625,41.212501525878906,113640712.0,7207.97607421875,0.0913939201273036,10660.239445019792,43.744912697533735
2,50,0.2,32,50,234864.3125,358.923095703125,37.05440139770508,323318.1875,404.9840087890625,0.22780119372811397,568.6107716772462,21.93127984023824
1,50,0.2,32,50,33574280.0,2561.533203125,37.38530731201172,74136336.0,4725.93212890625,0.38271288310235796,8610.246015697801,54.24064028206453
2,50,0.2,32,50,235164.375,363.3174133300781,32.490055084228516,218723.03125,350.9046630859375,0.3721254679405345,467.6783656662117,19.006113650056832
0,50,0.2,32,50,624057.9375,526.0107421875,24.19070053100586,3684152.25,1315.3052978515625,0.2976051394618131,1919.414529994966,37.47791581272481
1,50,0.2,32,50,46618764.0,3361.1982421875,49.36821746826172,23613270.0,3049.1875,0.23818246533551415,4859.348969668359,46.29816751405315
2,50,0.2,32,50,226188.59375,345.05755615234375,26.867481231689453,59742.59765625,192.92271423339844,0.46063829768367787,244.4230128271286,27.75547216556121
1,50,0.2,32,50,33322344.0,2635.09228515625,38.8344841003418,3353821.25,1433.8724365234375,0.25565044791061825,1831.3441696578172,20.44389924468075
2,50,0.2,32,50,169755.5,277.96771240234375,21.63742446899414,71967.984375,207.38829040527344,0.23190702228158408,268.26850106336207,20.516107661495422
1,100,0.3,64,100,42636584.0,1021.983154296875,19.634817123413086,14906550.0,2277.301025390625,0.0653827935392711,3860.9001732240754,33.036738229174794
2,100,0.3,64,100,176485.25,302.8656921386719,31.835472106933594,455006.625,497.08837890625,0.06766357000437151,674.5418226401816,36.75935713657122
0,50,0.2,32,50,1282992.75,694.6907958984375,24.96778678894043,2451037.5,945.7947998046875,0.3529580375016744,1565.578953841983,38.84659250722982
1,100,0.3,64,100,26458190.0,1644.0118408203125,33.359703063964844,103893648.0,6775.568359375,0.07045380859261688,10192.82326275759,44.41729367016991
2,100,0.3,64,100,231998.125,369.5436706542969,39.04351043701172,273411.375,380.1514892578125,0.22077351817556706,522.8875491665563,22.314595973821163
1,100,0.3,64,100,34252576.0,2870.38134765625,46.89963912963867,80936776.0,4839.19921875,0.3644747732276114,8996.4864406504,60.97081641321789
2,100,0.3,64,100,219435.046875,349.25885009765625,31.349809646606445,209951.8125,339.03192138671875,0.36149366049311016,458.20499914152117,19.023035084585384
1,100,0.3,64,100,47762616.0,3577.158935546875,53.544105529785156,23697498.0,3112.929931640625,0.20399218699684923,4868.007365879691,48.75034005455735
1,100,0.3,64,100,95901480.0,5901.837890625,65.72354888916016,28750604.0,4854.5986328125,0.0024927935101048343,5361.9593347732725,67.71940430915582
2,100,0.3,64,100,226103.21875,340.9449157714844,25.755151748657227,60399.73828125,192.7461395263672,0.5199020960535724,245.76356098518508,23.905771589966683
2,100,0.3,64,100,205881.484375,333.9131164550781,30.032630920410156,70417.2734375,199.01898193359375,0.24336579415006954,265.36255413140793,21.86348304781759
0,50,0.2,32,50,1300901.125,682.052734375,23.39215850830078,445654.5,450.31585693359375,0.5884170335958179,667.5735498953854,31.42724745798613
0,50,0.2,32,50,686592.125,495.4390563964844,21.675052642822266,1232878.875,712.4652709960938,0.642708010153433,1110.3506440229337,23.593605258935753
0,100,0.3,64,100,682454.125,526.7308349609375,34.298377990722656,1730163.125,921.4482421875,0.4293713866395667,1315.3566157217454,28.51379020175472
0,100,0.3,64,100,548705.625,464.3992919921875,20.099693298339844,3422613.5,1239.4044189453125,0.3674118951491254,1850.030508971255,34.59471967752204
0,100,0.3,64,100,346676.3125,329.038330078125,11.421942710876465,900101.25,498.1628112792969,0.7681605501141673,948.7366485012489,19.78417741093379
0,100,0.3,64,100,631207.3125,428.9482727050781,15.141484260559082,324170.40625,370.6355285644531,0.6907408091952141,569.3595762588436,26.949789035634424
0,100,0.3,64,100,672703.4375,474.0050354003906,18.99700927734375,1356972.375,734.17138671875,0.625720851710574,1164.8914079010774,22.43385532465644
